index,chart_name,person_id,mem,int,tru,emp,aes,itt,cft,model
0,COVID-1,persona_0,2,5,3,2,6,4,5,llama_32_11B
1,COVID-2,persona_0,1,6,4,3,2,5,6,llama_32_11B
2,COVID-3,persona_0,4,6,5,4,6,7,6,llama_32_11B
3,COVID-4,persona_0,6,5,4,3,7,6,5,llama_32_11B
4,COVID-5,persona_0,4,6,5,3,6,5,4,llama_32_11B
5,COVID-6,persona_0,4,5,3,2,6,7,5,llama_32_11B
6,COVID-2,persona_1,1,6,4,2,3,5,6,llama_32_11B
7,COVID-3,persona_1,3,4,4,3,4,4,4,llama_32_11B
8,COVID-4,persona_1,4,3,4,3,4,4,4,llama_32_11B
9,COVID-5,persona_1,3,5,4,3,6,5,4,llama_32_11B
10,COVID-6,persona_1,3,4,3,2,4,3,4,llama_32_11B
11,COVID-7,persona_1,2,5,4,3,6,4,5,llama_32_11B
12,COVID-3,persona_2,4,5,4,4,4,4,5,llama_32_11B
13,COVID-4,persona_2,4,3,4,3,4,3,4,llama_32_11B
14,COVID-5,persona_2,4,6,4,3,5,4,5,llama_32_11B
15,COVID-6,persona_2,3,4,3,2,4,3,4,llama_32_11B
16,COVID-7,persona_2,3,6,4,3,5,4,5,llama_32_11B
17,COVID-8,persona_2,4,6,4,4,4,4,4,llama_32_11B
18,COVID-4,persona_3,4,5,4,3,6,5,5,llama_32_11B
19,COVID-5,persona_3,4,6,5,4,6,5,6,llama_32_11B
20,COVID-6,persona_3,7,6,4,3,5,6,5,llama_32_11B
21,COVID-7,persona_3,4,6,5,3,6,5,6,llama_32_11B
22,COVID-8,persona_3,4,6,4,4,5,6,5,llama_32_11B
23,COVID-9,persona_3,4,6,4,3,5,6,5,llama_32_11B
24,COVID-5,persona_4,2,3,4,2,5,4,4,llama_32_11B
25,COVID-6,persona_4,7,4,3,2,5,6,4,llama_32_11B
26,COVID-7,persona_4,4,5,4,3,4,5,5,llama_32_11B
27,COVID-8,persona_4,4,5,4,4,5,5,5,llama_32_11B
28,COVID-9,persona_4,4,5,4,3,4,5,5,llama_32_11B
29,COVID-10,persona_4,3,4,4,3,2,4,4,llama_32_11B
30,COVID-6,persona_5,7,6,4,3,5,6,5,llama_32_11B
31,COVID-7,persona_5,3,6,4,3,5,4,5,llama_32_11B
32,COVID-8,persona_5,4,6,4,4,6,6,6,llama_32_11B
33,COVID-9,persona_5,3,6,4,3,5,6,5,llama_32_11B
34,COVID-10,persona_5,3,6,4,3,6,5,6,llama_32_11B
35,COVID-11,persona_5,4,6,4,3,5,6,5,llama_32_11B
36,COVID-7,persona_6,4,5,4,3,6,5,5,llama_32_11B
37,COVID-8,persona_6,4,6,4,4,6,6,6,llama_32_11B
38,COVID-9,persona_6,1,6,4,2,6,5,6,llama_32_11B
39,COVID-10,persona_6,3,4,4,3,6,5,4,llama_32_11B
40,COVID-11,persona_6,4,6,5,4,6,5,6,llama_32_11B
41,COVID-12,persona_6,4,5,4,3,5,4,4,llama_32_11B
42,COVID-8,persona_7,4,6,4,4,6,6,6,llama_32_11B
43,COVID-9,persona_7,4,6,4,3,5,6,5,llama_32_11B
44,COVID-10,persona_7,3,6,4,3,6,5,6,llama_32_11B
45,COVID-11,persona_7,4,6,5,4,5,6,5,llama_32_11B
46,COVID-12,persona_7,4,6,5,4,3,5,6,llama_32_11B
47,COVID-1,persona_7,1,3,4,4,2,6,5,llama_32_11B
48,COVID-9,persona_8,1,6,4,2,5,3,6,llama_32_11B
49,COVID-10,persona_8,3,4,4,3,6,5,4,llama_32_11B
50,COVID-11,persona_8,4,5,4,3,5,5,5,llama_32_11B
51,COVID-12,persona_8,3,4,4,3,4,4,4,llama_32_11B
52,COVID-1,persona_8,1,2,3,4,5,6,7,llama_32_11B
53,COVID-2,persona_8,1,6,4,3,2,5,6,llama_32_11B
54,COVID-10,persona_9,3,6,4,3,6,5,6,llama_32_11B
55,COVID-11,persona_9,4,6,5,4,6,5,6,llama_32_11B
56,COVID-12,persona_9,4,6,4,3,5,4,5,llama_32_11B
57,COVID-1,persona_9,1,2,3,4,5,6,7,llama_32_11B
58,COVID-2,persona_9,1,6,4,3,2,5,6,llama_32_11B
59,COVID-3,persona_9,4,6,4,4,5,6,6,llama_32_11B
60,COVID-11,persona_10,4,5,4,3,5,5,4,llama_32_11B
61,COVID-12,persona_10,4,5,4,3,4,5,4,llama_32_11B
62,COVID-1,persona_10,1,2,3,4,5,6,7,llama_32_11B
63,COVID-2,persona_10,1,6,4,3,2,5,6,llama_32_11B
64,COVID-3,persona_10,4,6,4,4,6,6,6,llama_32_11B
65,COVID-4,persona_10,4,6,5,3,6,5,6,llama_32_11B
66,COVID-12,persona_11,4,5,4,3,4,5,4,llama_32_11B
67,COVID-1,persona_11,1,3,2,4,6,5,7,llama_32_11B
68,COVID-2,persona_11,3,5,4,2,6,7,5,llama_32_11B
69,COVID-3,persona_11,4,5,6,4,6,5,6,llama_32_11B
70,COVID-4,persona_11,4,6,5,3,6,5,6,llama_32_11B
71,COVID-5,persona_11,4,6,5,3,6,5,6,llama_32_11B
72,COVID-1,persona_12,1,2,3,4,5,6,7,llama_32_11B
73,COVID-2,persona_12,1,6,4,2,3,5,6,llama_32_11B
74,COVID-3,persona_12,4,6,4,4,5,6,6,llama_32_11B
75,COVID-4,persona_12,3,5,4,3,6,5,4,llama_32_11B
76,COVID-5,persona_12,1,6,4,2,7,5,3,llama_32_11B
77,COVID-6,persona_12,7,6,4,3,5,6,5,llama_32_11B
78,COVID-2,persona_13,1,6,4,2,3,5,6,llama_32_11B
79,COVID-3,persona_13,4,6,4,4,6,6,6,llama_32_11B
80,COVID-4,persona_13,4,6,4,4,6,5,6,llama_32_11B
81,COVID-5,persona_13,4,6,4,3,5,6,5,llama_32_11B
82,COVID-6,persona_13,7,6,4,3,5,6,5,llama_32_11B
83,COVID-7,persona_13,4,6,4,3,5,4,5,llama_32_11B
84,COVID-3,persona_14,4,6,5,4,5,6,5,llama_32_11B
85,COVID-4,persona_14,4,5,4,3,6,5,5,llama_32_11B
86,COVID-5,persona_14,1,4,4,1,6,4,4,llama_32_11B
87,COVID-6,persona_14,4,5,4,3,5,6,5,llama_32_11B
88,COVID-7,persona_14,4,6,5,4,6,5,6,llama_32_11B
89,COVID-8,persona_14,4,6,4,4,6,6,6,llama_32_11B
90,COVID-4,persona_15,4,6,5,3,6,5,6,llama_32_11B
91,COVID-5,persona_15,4,6,5,3,7,6,5,llama_32_11B
92,COVID-6,persona_15,7,5,4,3,6,5,4,llama_32_11B
93,COVID-7,persona_15,4,6,5,3,5,4,6,llama_32_11B
94,COVID-8,persona_15,4,6,4,4,6,6,6,llama_32_11B
95,COVID-9,persona_15,1,6,7,2,5,4,6,llama_32_11B
96,COVID-5,persona_16,3,6,4,3,5,6,5,llama_32_11B
97,COVID-6,persona_16,4,5,3,2,6,4,5,llama_32_11B
98,COVID-7,persona_16,4,6,4,3,5,4,5,llama_32_11B
99,COVID-8,persona_16,4,6,3,4,5,6,5,llama_32_11B
100,COVID-9,persona_16,1,6,4,2,5,3,4,llama_32_11B
101,COVID-10,persona_16,4,6,4,3,5,4,5,llama_32_11B
102,COVID-6,persona_17,4,5,4,3,5,6,5,llama_32_11B
103,COVID-7,persona_17,4,6,5,3,5,6,5,llama_32_11B
104,COVID-8,persona_17,4,6,5,3,5,6,5,llama_32_11B
105,COVID-9,persona_17,1,6,4,3,2,5,4,llama_32_11B
106,COVID-10,persona_17,3,6,4,3,6,5,6,llama_32_11B
107,COVID-11,persona_17,4,5,4,3,5,5,5,llama_32_11B
108,COVID-7,persona_18,3,6,4,3,5,6,5,llama_32_11B
109,COVID-8,persona_18,4,6,4,4,5,6,5,llama_32_11B
110,COVID-9,persona_18,3,6,4,3,5,6,5,llama_32_11B
111,COVID-10,persona_18,3,6,4,3,6,5,6,llama_32_11B
112,COVID-11,persona_18,4,6,5,4,6,5,6,llama_32_11B
113,COVID-12,persona_18,3,5,4,3,4,5,5,llama_32_11B
114,COVID-8,persona_19,4,6,4,4,6,6,6,llama_32_11B
115,COVID-9,persona_19,1,6,4,3,5,6,5,llama_32_11B
116,COVID-10,persona_19,3,6,4,3,6,5,6,llama_32_11B
117,COVID-11,persona_19,4,6,5,3,5,6,5,llama_32_11B
118,COVID-12,persona_19,4,6,5,4,5,6,5,llama_32_11B
119,COVID-1,persona_19,3,4,2,2,2,4,4,llama_32_11B
120,COVID-9,persona_20,4,6,4,3,5,6,5,llama_32_11B
121,COVID-10,persona_20,3,6,4,3,6,5,6,llama_32_11B
122,COVID-11,persona_20,4,5,4,3,5,5,4,llama_32_11B
123,COVID-12,persona_20,4,6,4,4,5,6,5,llama_32_11B
124,COVID-1,persona_20,1,3,4,4,6,5,6,llama_32_11B
125,COVID-2,persona_20,1,6,4,3,2,5,6,llama_32_11B
126,COVID-10,persona_21,4,6,5,4,6,5,6,llama_32_11B
127,COVID-11,persona_21,4,6,5,3,5,6,5,llama_32_11B
128,COVID-12,persona_21,4,6,4,3,5,4,5,llama_32_11B
129,COVID-1,persona_21,4,6,4,3,5,6,5,llama_32_11B
130,COVID-2,persona_21,1,6,4,3,2,5,6,llama_32_11B
131,COVID-3,persona_21,4,6,4,4,6,6,6,llama_32_11B
132,COVID-11,persona_22,4,6,5,4,5,6,5,llama_32_11B
133,COVID-12,persona_22,4,6,4,4,4,5,5,llama_32_11B
134,COVID-1,persona_22,1,2,3,4,5,6,7,llama_32_11B
135,COVID-2,persona_22,3,5,4,3,6,7,6,llama_32_11B
136,COVID-3,persona_22,4,6,5,4,6,5,6,llama_32_11B
137,COVID-4,persona_22,4,6,5,3,6,5,6,llama_32_11B
138,COVID-12,persona_23,3,5,4,3,4,5,4,llama_32_11B
139,COVID-1,persona_23,1,2,3,4,5,6,7,llama_32_11B
140,COVID-2,persona_23,1,6,4,3,2,5,6,llama_32_11B
141,COVID-3,persona_23,4,5,4,4,5,5,5,llama_32_11B
142,COVID-4,persona_23,3,5,4,3,6,5,4,llama_32_11B
143,COVID-5,persona_23,1,6,4,2,7,5,3,llama_32_11B
144,COVID-1,persona_24,1,3,4,2,6,5,4,llama_32_11B
145,COVID-2,persona_24,1,6,4,2,3,5,6,llama_32_11B
146,COVID-3,persona_24,4,6,5,4,6,6,6,llama_32_11B
147,COVID-4,persona_24,4,6,5,3,6,5,6,llama_32_11B
148,COVID-5,persona_24,1,6,4,1,6,7,6,llama_32_11B
149,COVID-6,persona_24,7,5,4,3,6,5,4,llama_32_11B
150,COVID-2,persona_25,1,6,4,3,2,5,6,llama_32_11B
151,COVID-3,persona_25,4,5,4,4,5,5,5,llama_32_11B
152,COVID-4,persona_25,4,5,4,3,5,5,5,llama_32_11B
153,COVID-5,persona_25,1,6,4,2,7,5,6,llama_32_11B
154,COVID-6,persona_25,7,6,4,3,5,6,5,llama_32_11B
155,COVID-7,persona_25,2,6,4,3,5,6,5,llama_32_11B
156,COVID-3,persona_26,4,6,4,4,6,6,6,llama_32_11B
157,COVID-4,persona_26,4,6,5,3,6,5,6,llama_32_11B
158,COVID-5,persona_26,1,6,4,2,7,5,3,llama_32_11B
159,COVID-6,persona_26,7,5,4,3,6,5,4,llama_32_11B
160,COVID-7,persona_26,2,6,4,3,5,4,6,llama_32_11B
161,COVID-8,persona_26,4,6,4,4,6,6,6,llama_32_11B
162,COVID-4,persona_27,4,5,4,3,5,6,5,llama_32_11B
163,COVID-5,persona_27,1,4,4,1,6,4,4,llama_32_11B
164,COVID-6,persona_27,7,5,4,3,6,5,4,llama_32_11B
165,COVID-7,persona_27,4,6,5,3,6,5,4,llama_32_11B
166,COVID-8,persona_27,4,6,4,4,6,6,6,llama_32_11B
167,COVID-9,persona_27,3,6,4,3,5,6,5,llama_32_11B
168,COVID-5,persona_28,1,6,4,2,7,5,3,llama_32_11B
169,COVID-6,persona_28,7,5,4,3,6,5,4,llama_32_11B
170,COVID-7,persona_28,4,6,5,3,6,5,4,llama_32_11B
171,COVID-8,persona_28,4,6,4,4,6,6,6,llama_32_11B
172,COVID-9,persona_28,4,6,4,3,5,4,5,llama_32_11B
173,COVID-10,persona_28,4,6,4,3,6,5,6,llama_32_11B
174,COVID-6,persona_29,7,5,4,3,6,5,4,llama_32_11B
175,COVID-7,persona_29,4,6,5,3,6,5,6,llama_32_11B
176,COVID-8,persona_29,4,6,4,4,6,6,6,llama_32_11B
177,COVID-9,persona_29,4,6,4,3,5,6,5,llama_32_11B
178,COVID-10,persona_29,3,6,4,3,6,5,6,llama_32_11B
179,COVID-11,persona_29,4,5,4,3,5,5,5,llama_32_11B
180,COVID-7,persona_30,4,6,4,3,5,6,5,llama_32_11B
181,COVID-8,persona_30,4,6,4,4,6,6,6,llama_32_11B
182,COVID-9,persona_30,1,6,4,2,5,4,3,llama_32_11B
183,COVID-10,persona_30,3,6,4,3,6,5,6,llama_32_11B
184,COVID-11,persona_30,4,6,5,3,5,6,5,llama_32_11B
185,COVID-12,persona_30,4,6,4,3,5,6,5,llama_32_11B
186,COVID-8,persona_31,4,6,4,4,5,6,5,llama_32_11B
187,COVID-9,persona_31,1,6,4,2,5,6,5,llama_32_11B
188,COVID-10,persona_31,3,6,4,3,6,5,6,llama_32_11B
189,COVID-11,persona_31,4,5,4,3,5,5,5,llama_32_11B
190,COVID-12,persona_31,4,6,4,3,5,4,5,llama_32_11B
191,COVID-1,persona_31,3,6,4,2,7,5,6,llama_32_11B
192,COVID-9,persona_32,1,6,4,2,5,6,5,llama_32_11B
193,COVID-10,persona_32,3,4,4,3,6,5,4,llama_32_11B
194,COVID-11,persona_32,4,5,4,3,5,5,5,llama_32_11B
195,COVID-12,persona_32,4,5,4,3,4,5,5,llama_32_11B
196,COVID-1,persona_32,1,3,4,4,6,5,6,llama_32_11B
197,COVID-2,persona_32,1,6,4,3,2,5,6,llama_32_11B
198,COVID-10,persona_33,4,6,4,4,6,6,6,llama_32_11B
199,COVID-11,persona_33,4,5,4,3,5,5,5,llama_32_11B
200,COVID-12,persona_33,4,5,4,3,5,6,5,llama_32_11B
201,COVID-1,persona_33,3,4,4,3,3,4,4,llama_32_11B
202,COVID-2,persona_33,1,6,4,2,3,5,6,llama_32_11B
203,COVID-3,persona_33,3,4,4,3,4,4,4,llama_32_11B
204,COVID-11,persona_34,4,6,5,3,5,6,5,llama_32_11B
205,COVID-12,persona_34,4,5,4,3,4,5,5,llama_32_11B
206,COVID-1,persona_34,1,3,2,1,1,4,3,llama_32_11B
207,COVID-2,persona_34,1,6,4,3,2,5,6,llama_32_11B
208,COVID-3,persona_34,4,5,4,4,5,5,5,llama_32_11B
209,COVID-4,persona_34,4,5,4,4,5,5,5,llama_32_11B
210,COVID-12,persona_35,4,6,4,3,5,6,5,llama_32_11B
211,COVID-1,persona_35,1,2,3,4,5,6,7,llama_32_11B
212,COVID-2,persona_35,4,6,5,3,6,7,6,llama_32_11B
213,COVID-3,persona_35,4,6,4,4,6,6,6,llama_32_11B
214,COVID-4,persona_35,4,6,4,3,5,5,5,llama_32_11B
215,COVID-5,persona_35,3,6,4,3,6,5,4,llama_32_11B
216,COVID-1,persona_36,2,5,3,2,6,4,5,llama_32_11B
217,COVID-2,persona_36,1,6,4,2,3,5,6,llama_32_11B
218,COVID-3,persona_36,3,6,4,3,6,6,6,llama_32_11B
219,COVID-4,persona_36,4,6,5,3,6,5,6,llama_32_11B
220,COVID-5,persona_36,1,6,4,1,7,6,5,llama_32_11B
221,COVID-6,persona_36,4,5,4,3,6,5,4,llama_32_11B
222,COVID-2,persona_37,1,6,4,2,5,7,6,llama_32_11B
223,COVID-3,persona_37,4,6,4,4,6,6,6,llama_32_11B
224,COVID-4,persona_37,4,6,4,3,6,5,6,llama_32_11B
225,COVID-5,persona_37,1,6,4,1,7,5,6,llama_32_11B
226,COVID-6,persona_37,4,5,3,2,6,4,5,llama_32_11B
227,COVID-7,persona_37,4,6,5,3,6,5,6,llama_32_11B
228,COVID-3,persona_38,4,6,4,4,4,6,6,llama_32_11B
229,COVID-4,persona_38,4,5,4,3,5,6,5,llama_32_11B
230,COVID-5,persona_38,3,6,4,2,5,4,5,llama_32_11B
231,COVID-6,persona_38,7,5,4,3,6,5,4,llama_32_11B
232,COVID-7,persona_38,4,6,5,3,5,6,5,llama_32_11B
233,COVID-8,persona_38,4,6,4,4,5,6,5,llama_32_11B
234,COVID-4,persona_39,4,5,4,3,6,5,5,llama_32_11B
235,COVID-5,persona_39,1,6,4,2,7,5,3,llama_32_11B
236,COVID-6,persona_39,7,5,4,3,6,5,4,llama_32_11B
237,COVID-7,persona_39,2,5,4,3,6,4,5,llama_32_11B
238,COVID-8,persona_39,4,6,4,4,6,6,6,llama_32_11B
239,COVID-9,persona_39,3,6,4,3,5,4,5,llama_32_11B
240,COVID-5,persona_40,1,3,4,2,6,5,4,llama_32_11B
241,COVID-6,persona_40,7,6,4,3,5,6,5,llama_32_11B
242,COVID-7,persona_40,3,6,4,3,5,6,5,llama_32_11B
243,COVID-8,persona_40,4,6,4,4,6,6,6,llama_32_11B
244,COVID-9,persona_40,1,6,4,2,5,3,4,llama_32_11B
245,COVID-10,persona_40,3,4,4,3,5,4,4,llama_32_11B
246,COVID-6,persona_41,7,5,4,3,6,5,4,llama_32_11B
247,COVID-7,persona_41,3,6,4,3,5,6,5,llama_32_11B
248,COVID-8,persona_41,4,6,4,4,5,6,5,llama_32_11B
249,COVID-9,persona_41,3,6,4,3,5,6,5,llama_32_11B
250,COVID-10,persona_41,3,6,4,3,6,5,6,llama_32_11B
251,COVID-11,persona_41,4,5,4,3,5,5,5,llama_32_11B
252,COVID-7,persona_42,4,6,5,3,5,6,5,llama_32_11B
253,COVID-8,persona_42,4,6,4,4,5,6,5,llama_32_11B
254,COVID-9,persona_42,3,6,4,3,5,6,5,llama_32_11B
255,COVID-10,persona_42,3,6,4,3,6,5,6,llama_32_11B
256,COVID-11,persona_42,4,5,4,3,5,5,5,llama_32_11B
257,COVID-12,persona_42,4,6,4,3,5,4,5,llama_32_11B
258,COVID-8,persona_43,4,5,4,4,5,5,5,llama_32_11B
259,COVID-9,persona_43,1,6,4,3,2,5,4,llama_32_11B
260,COVID-10,persona_43,3,4,4,3,6,5,4,llama_32_11B
261,COVID-11,persona_43,4,5,4,3,5,5,5,llama_32_11B
262,COVID-12,persona_43,4,5,4,3,4,5,5,llama_32_11B
263,COVID-1,persona_43,3,4,4,2,2,5,4,llama_32_11B
264,COVID-9,persona_44,1,6,4,2,5,3,4,llama_32_11B
265,COVID-10,persona_44,3,6,4,3,6,5,6,llama_32_11B
266,COVID-11,persona_44,4,5,4,3,5,5,5,llama_32_11B
267,COVID-12,persona_44,4,5,4,3,4,5,4,llama_32_11B
268,COVID-1,persona_44,1,3,2,1,1,4,3,llama_32_11B
269,COVID-2,persona_44,1,6,4,2,3,5,6,llama_32_11B
270,COVID-10,persona_45,3,6,4,3,6,5,6,llama_32_11B
271,COVID-11,persona_45,4,5,4,3,5,5,5,llama_32_11B
272,COVID-12,persona_45,4,5,4,3,4,5,4,llama_32_11B
273,COVID-1,persona_45,1,3,2,1,1,3,4,llama_32_11B
274,COVID-2,persona_45,1,6,4,2,3,5,6,llama_32_11B
275,COVID-3,persona_45,3,4,4,3,4,4,4,llama_32_11B
276,COVID-11,persona_46,4,6,5,3,5,6,5,llama_32_11B
277,COVID-12,persona_46,4,6,5,4,5,6,5,llama_32_11B
278,COVID-1,persona_46,2,5,4,3,6,7,5,llama_32_11B
279,COVID-2,persona_46,1,6,4,2,3,5,6,llama_32_11B
280,COVID-3,persona_46,4,6,4,4,5,6,6,llama_32_11B
281,COVID-4,persona_46,4,6,5,3,6,5,6,llama_32_11B
282,COVID-12,persona_47,4,5,4,3,4,5,5,llama_32_11B
283,COVID-1,persona_47,3,4,3,2,3,4,4,llama_32_11B
284,COVID-2,persona_47,3,6,4,2,5,7,6,llama_32_11B
285,COVID-3,persona_47,4,6,4,4,4,6,6,llama_32_11B
286,COVID-4,persona_47,4,5,4,3,6,5,5,llama_32_11B
287,COVID-5,persona_47,1,3,4,1,6,5,4,llama_32_11B
288,COVID-1,persona_48,3,4,2,1,6,5,4,llama_32_11B
289,COVID-2,persona_48,1,6,4,2,3,5,6,llama_32_11B
290,COVID-3,persona_48,3,4,4,3,4,4,4,llama_32_11B
291,COVID-4,persona_48,3,5,4,3,6,5,4,llama_32_11B
292,COVID-5,persona_48,1,5,4,2,6,7,5,llama_32_11B
293,COVID-6,persona_48,7,5,4,3,6,5,4,llama_32_11B
294,COVID-2,persona_49,1,6,4,2,3,5,6,llama_32_11B
295,COVID-3,persona_49,3,4,4,3,4,4,4,llama_32_11B
296,COVID-4,persona_49,3,4,3,2,4,3,4,llama_32_11B
297,COVID-5,persona_49,1,6,4,2,7,5,3,llama_32_11B
298,COVID-6,persona_49,3,4,3,2,4,3,4,llama_32_11B
299,COVID-7,persona_49,2,5,4,3,6,4,5,llama_32_11B
300,COVID-3,persona_50,4,6,4,4,5,6,6,llama_32_11B
301,COVID-4,persona_50,6,5,4,3,7,6,5,llama_32_11B
302,COVID-5,persona_50,4,6,5,3,7,6,5,llama_32_11B
303,COVID-6,persona_50,4,5,4,3,5,6,5,llama_32_11B
304,COVID-7,persona_50,4,6,4,3,5,4,5,llama_32_11B
305,COVID-8,persona_50,4,6,4,4,6,6,6,llama_32_11B
306,COVID-4,persona_51,4,5,4,3,6,5,5,llama_32_11B
307,COVID-5,persona_51,1,6,4,2,7,5,3,llama_32_11B
308,COVID-6,persona_51,7,6,4,3,5,6,5,llama_32_11B
309,COVID-7,persona_51,3,6,4,3,5,4,5,llama_32_11B
310,COVID-8,persona_51,4,6,4,4,6,6,6,llama_32_11B
311,COVID-9,persona_51,1,6,4,2,5,4,3,llama_32_11B
312,COVID-5,persona_52,1,4,4,1,6,4,4,llama_32_11B
313,COVID-6,persona_52,7,6,4,3,5,6,5,llama_32_11B
314,COVID-7,persona_52,4,6,4,3,5,4,5,llama_32_11B
315,COVID-8,persona_52,4,6,4,4,6,6,6,llama_32_11B
316,COVID-9,persona_52,1,6,4,3,6,5,6,llama_32_11B
317,COVID-10,persona_52,3,6,4,3,6,5,6,llama_32_11B
318,COVID-6,persona_53,7,5,4,3,6,5,4,llama_32_11B
319,COVID-7,persona_53,3,6,4,3,5,6,5,llama_32_11B
320,COVID-8,persona_53,4,6,4,4,6,6,6,llama_32_11B
321,COVID-9,persona_53,3,6,4,3,5,6,5,llama_32_11B
322,COVID-10,persona_53,4,6,5,4,6,5,6,llama_32_11B
323,COVID-11,persona_53,4,6,5,3,5,6,5,llama_32_11B
324,COVID-7,persona_54,4,6,5,3,5,4,6,llama_32_11B
325,COVID-8,persona_54,4,6,4,4,6,6,6,llama_32_11B
326,COVID-9,persona_54,3,6,4,3,5,6,5,llama_32_11B
327,COVID-10,persona_54,3,6,4,3,6,5,6,llama_32_11B
328,COVID-11,persona_54,4,6,5,3,5,6,5,llama_32_11B
329,COVID-12,persona_54,4,6,5,3,4,5,6,llama_32_11B
330,COVID-8,persona_55,4,6,4,4,6,6,6,llama_32_11B
331,COVID-9,persona_55,1,6,4,3,6,5,6,llama_32_11B
332,COVID-10,persona_55,3,6,4,3,6,5,6,llama_32_11B
333,COVID-11,persona_55,4,6,5,3,5,6,5,llama_32_11B
334,COVID-12,persona_55,4,6,4,3,5,4,5,llama_32_11B
335,COVID-1,persona_55,1,5,2,3,6,4,5,llama_32_11B
336,COVID-9,persona_56,4,6,4,3,5,6,5,llama_32_11B
337,COVID-10,persona_56,4,6,5,4,6,5,6,llama_32_11B
338,COVID-11,persona_56,4,5,4,3,5,5,4,llama_32_11B
339,COVID-12,persona_56,4,6,4,3,5,6,5,llama_32_11B
340,COVID-1,persona_56,7,6,4,3,2,5,6,llama_32_11B
341,COVID-2,persona_56,4,6,5,3,2,4,5,llama_32_11B
342,COVID-10,persona_57,3,6,4,3,6,5,6,llama_32_11B
343,COVID-11,persona_57,4,6,5,3,6,5,6,llama_32_11B
344,COVID-12,persona_57,4,6,4,3,5,4,5,llama_32_11B
345,COVID-1,persona_57,3,4,2,1,6,5,7,llama_32_11B
346,COVID-2,persona_57,1,6,4,2,3,5,6,llama_32_11B
347,COVID-3,persona_57,4,6,4,4,6,6,6,llama_32_11B
348,COVID-11,persona_58,3,5,4,3,5,6,5,llama_32_11B
349,COVID-12,persona_58,3,6,4,3,5,6,5,llama_32_11B
350,COVID-1,persona_58,3,4,2,2,1,5,6,llama_32_11B
351,COVID-2,persona_58,1,6,4,3,2,5,6,llama_32_11B
352,COVID-3,persona_58,3,4,4,3,4,4,4,llama_32_11B
353,COVID-4,persona_58,3,4,4,3,4,4,4,llama_32_11B
354,COVID-12,persona_59,4,6,5,3,4,5,6,llama_32_11B
355,COVID-1,persona_59,1,3,4,2,6,5,7,llama_32_11B
356,COVID-2,persona_59,1,6,4,2,3,5,6,llama_32_11B
357,COVID-3,persona_59,4,6,4,4,6,6,6,llama_32_11B
